PAR0_Mwi,PAR0_grs,PAR5_Mwi,PAR5_grs,PBR0_Mwi,PBR0_grs,PBR8_Mwi,PBR8_grs,PCR0_Mwi,PCR0_grs,PCR4_Mwi,PCR4_grs,PDR0_Mwi,PDR0_grs,PDR4_Mwi,PDR4_grs,Fcontr_Mwi,Fcontr_grs,Pcontrol_Mwi,Pcontrol_grs
1776,0.060887402,,,,,,,3676,0.132795544,2224,0.073268665,2621,0.116385194,2370,0.076946663,3415,0.100801274,,
1639,0.054720235,,,,,,,3435,0.117076887,2087,0.066140718,2449,0.105477209,2224,0.074513182,3190,0.090111495,,
1512,0.049515574,,,,,,,3211,0.111075923,1959,0.061499264,2289,0.098672228,2087,0.072663737,2980,0.08196889,,
1395,0.041851177,,,,,,,3001,0.098841698,1838,0.051967707,2139,0.088564829,1959,0.064487241,2784,0.07553832,,
1288,0.044275265,,,,,,,2804,0.097912516,1725,0.047533461,1999,0.078757651,1838,0.058744227,2601,0.07102857,,
1188,0.035755307,,,,,,,2621,0.085291132,1619,0.048445175,1868,0.073153548,1725,0.051005758,2430,0.062176097,,
,,,,,,,,2449,0.077741531,1519,0.042394708,1746,0.062345637,,,2270,0.057290534,,
,,,,,,,,2289,0.080800087,1426,0.043596513,1632,0.055590692,,,2121,0.046600755,,
,,,,,,,,2139,0.071469555,,,1525,0.051687835,,,,,,
,,,,,,,,1999,0.065507306,,,,,,,,,,
,,,,,,,,1868,0.056099342,,,,,,,,,,
,,,,,,,,1746,0.05753183,,,,,,,,,,
,,,,,,,,1632,0.050601684,,,,,,,,,,
,,,,,,,,1525,0.04185189,,,,,,,,,,
,,,,,,,,1425,0.039528936,,,,,,,,,,
